mimari,deney_tipi,lr,batch,es_sabri,egitilen_epoch,en_iyi_val_acc,en_iyi_val_loss,test_acc,test_precision,test_recall,test_f1,test_auc,sure_saniye
densenet121,baseline,0.0010,32,25,34,1.0000,0.0000,0.9964,0.9928,1.0000,0.9964,0.9999,675.5000
densenet121,lr,0.0100,32,25,28,1.0000,0.0001,0.9928,0.9928,0.9928,0.9928,0.9999,597.4000
densenet121,lr,0.0001,32,25,49,1.0000,0.0004,0.9964,0.9928,1.0000,0.9964,0.9999,1111.0000
densenet121,lr,0.0000,32,25,100,1.0000,0.0013,0.9964,0.9928,1.0000,0.9964,0.9999,2420.5000
densenet121,batch,0.0010,16,25,31,1.0000,0.0000,0.9964,0.9928,1.0000,0.9964,0.9998,878.3000
densenet121,batch,0.0010,64,25,33,1.0000,0.0001,0.9928,0.9928,0.9928,0.9928,0.9999,739.2000
densenet121,patience,0.0010,32,5,7,1.0000,0.0001,0.9891,0.9856,0.9928,0.9892,0.9999,173.4000
densenet121,patience,0.0010,32,10,14,1.0000,0.0000,0.9928,0.9928,0.9928,0.9928,0.9999,374.7000
mobilenetv1,baseline,0.0010,32,25,37,1.0000,0.0000,0.9928,0.9928,0.9928,0.9928,0.9998,515.4000
mobilenetv1,lr,0.0100,32,25,33,1.0000,0.0000,0.9891,0.9856,0.9928,0.9892,0.9998,439.7000
mobilenetv1,lr,0.0001,32,25,41,1.0000,0.0003,0.9928,0.9928,0.9928,0.9928,0.9999,521.0000
mobilenetv1,lr,0.0000,32,25,100,1.0000,0.0024,0.9964,0.9928,1.0000,0.9964,0.9999,1246.4000
mobilenetv1,batch,0.0010,16,25,37,1.0000,0.0000,0.9891,0.9927,0.9855,0.9891,0.9999,460.5000
mobilenetv1,batch,0.0010,64,25,31,1.0000,0.0000,0.9964,1.0000,0.9928,0.9964,0.9999,375.9000
mobilenetv1,patience,0.0010,32,5,10,1.0000,0.0000,0.9928,1.0000,0.9855,0.9927,0.9999,126.0000
mobilenetv1,patience,0.0010,32,10,24,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,299.7000
